001Our first bulletin board message!                 Let us introduce ourselves.                                 We are COBOL The Barbarian                                  consisiting of teammates:                                   Emily, Jay & Matt!                                                                                                      JEM             17-05-1821
002Hello,                                            World!                                                                                                                                                                                                                                                                                                      Ruby            01-10-1921
003Knock, knock                                      Who's there?                                                I did ap.                                                   I did ap who?                                               Ha ha, you did a poo!                                                                                                   Holly           15-06-2011 
004Doctor, doctor!                                   ME: I feel like a pair of curtains!                         DR: Pull yourself together!                                                                                                                                                                                                                     John Watson     15-06-2011
005I dreamt last night I ate a giant marshmallow.    And when I woke up this morning, my giant marshamallow      was missing!                                                                                                                                                                                                                                    Agustus         15-11-2011
006Stop!                                             (1) Or my mom will shoot!                                   (2) In the name of love!                                    (3) is Pots backards!                                       (4) Right now, thank you very much!                         (5) Reading all my messages!                                Diana           21-06-2012                   
007I wanna, really, really, really                   wanna zig-a-zig-ah!                                                                                                                                                                                                                                                                                         Melanie         24-07-2012
008What kind of Bees can produce milk?               BooBees!                                                                                                                                                                                                                                                                                                    Jack            30-09-2012
009Why was six afraid of seven?                      Because seven eight nine!                                                                                                                                                                                                                                                                                   Eli             02-10-2012 
010I am wet when dry.  What am I?                    A towel.                                                                                                                                                                                                                                                                                                    Samuel          25-02-2013
011Which sexual position produces the ugliest kids?  Ask your mum!                                                                                                                                                                                                                                                                                               Gregory House   11-07-2013                                 
012Tell me it's not true?                            Say it's just a story.                                      Say it's just a scene,                                      From an old movie from years ago,                            From an old movie of Marilyn Monroe.                                                                                   Mrs Johnstone   02-11-2013
013What does a perverted frog say?                   "Rubbit!"                                                                                                                                                                                                                                                                                                   Kermit          22-04-2015
014Do you have any chimney jokes?                    I have stacks of them!                                      The first one is on the house!                                                                                                                                                                                                                  Dan             27-10-2016
015How do you like your eggs in the morning?         I like mine fertilised.                                                                                                                                                                                                                                                                                     Mandy           11-06-2017
016Who let the dogs out?                             Who, who, who, who?                                                                                                                                                                                                                                                                                         Emily           01-04-2018
017Time flies like an arrow.                         Fruit flies like a banana.                                                                                                                                                                                                                                                                                  Joseph          13-05-2018      
018What word is always pronounced wrong?             "WRONG!"                                                                                                                                                                                                                                                                                                    Katie           06-06-2018
019I am a princess.                                  I am a princess, duh. I like pretty flowers                 and pretty dresses and my great battleaxe, which I use      to defeat my foes!                                                                                                                                                                  Matt            26-07-2018    
020Have you seen the secret monkey?                  Go to games and see what he's up to!                                                                                                                                                                                                                                                                        Anonymous       11-08-2018
021What do you call a monkey in a mine field?        A BaBOOM!                                                   Get it?                                                     BaBOOM...                                                   ...like Baboon.                                             Good right?                                                 Jay             20-09-2018
022I told my friend 10 jokes to get them to laugh.   No pun in ten did!                                                                                                                                                                                                                                                                                          Tim             14-02-2020   
023I'm still not a transformer.                      Something's never change!                                                                                                                                                                                                                                                                                   Optimus         25-04-2021
024Hedgehogs                                         Why can't they just share thee hedge.                                                                                                                                                                                                                                                                       JEM             01-05-2021                                                                                                                                                                                                                                                                                         
025Zero credits, VIP and I have posted. Oh yes.      Whoop                                                                                                                                                                                                                                                                                                       Jeff            30-06-2021
026New date format hopefully! Check this post        Check the date                                                                                                                                                                                                                                                                                              matt            30-06-2021
027supercalifragilisticexpialidociouseventhoughthesoohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhheeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeellllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllooooooooooooooooooooooooooooooooooooooooooooooooooooouuuuuuuJay             30-06-2021
